"","ID","mean.nomig","median.nomig","max.nomig","sd.nomig","n.nomig","season"
"0","X13_2013_Fall.X13_BB90",0.176224832636026,0.0870091950351613,0.925571867949542,0.23628475245707,1095,"fall"
"01","X15_2013_Fall.X15_BB90",0.195110411316306,0.128190534144438,0.851782833158693,0.294442016583074,1798,"fall"
"02","X156_2014_Fall.X156_BB90",0.247526761355661,0.155856173705199,0.925617077041958,0.345329807296997,20530,"fall"
"03","X157_2016_Fall.X157_BB90",0.322794731885661,0.356556292013719,0.883830436315505,0.268923965135518,2789,"fall"
"04","X158_2016_Fall.X158_BB90",0.254487044375242,0.0691663408097759,0.925623781780361,0.395280629378445,7988,"fall"
"05","X178_2014_Fall.X178_BB90",0.249484819182424,0.25420102094857,0.925568994469837,0.260763771459297,26639,"fall"
"06","X181_2015_Fall.X181_BB90",0.184049740567119,0.0895796276016136,0.925609414467472,0.319285167744091,10227,"fall"
"07","X19_2013_Fall.X19_BB90",0.196361404662549,0.142024603306965,0.925554627185493,0.298000879335308,4560,"fall"
"08","X192_2015_Fall.X192_BB90",0.121047419841831,0.0837066176377068,0.925612671053065,0.211214176984276,4317,"fall"
"09","X200_2015_Fall.X200_BB90",0.325622435059047,0.255959605854384,0.925624739587899,0.334524979447679,8479,"fall"
"010","X202_2015_Fall.X202_BB90",0.300346339091678,0.278760248511027,0.925562098164217,0.312851829051108,15115,"fall"
"011","X205_2015_Fall.X205_BB90",0.304574886169496,0.43910003722371,0.925571293247892,0.253527001946583,29967,"fall"
"012","X31_2013_Fall.X31_BB90",0.337358114708625,0.30338441410759,0.917136895640189,0.199827072725303,1918,"fall"
"013","X58_2013_Fall.X58_BB90",0.265084637052778,0.254253481093958,0.855857241498737,0.283049663727715,980,"fall"
