"","ID","mean.nomig","median.nomig","max.nomig","sd.nomig","n.nomig","season","mean.nomig.1","median.nomig.1","max.nomig.1","sd.nomig.1","n.nomig.1"
"0","X11_2013_Summer.X11_BB90",0.16555883828025,0.122264479731742,0.925610563870772,0.277127049896187,48095,"summer",0.16555883828025,0.122264479731742,0.925610563870772,0.277127049896187,48095
"01","X13_2013_Summer.X13_BB90",0.111118324416485,0.0672959326341339,0.925471871546602,0.202693328568127,4559,"summer",0.111118324416485,0.0672959326341339,0.925471871546602,0.202693328568127,4559
"02","X15_2013_Summer.X15_BB90",0.104536488736063,0.07149184579393,0.925575124535135,0.230943137753984,3791,"summer",0.104536488736063,0.07149184579393,0.925575124535135,0.230943137753984,3791
"03","X151_2014_Summer.X151_BB90",0.28296872122709,0.224182114419859,0.925532022625012,0.303783532112711,3241,"summer",0.28296872122709,0.224182114419859,0.925532022625012,0.303783532112711,3241
"04","X156_2014_Summer.X156_BB90",0.23747735587062,0.201136203078425,0.925612671053065,0.298400125759256,6704,"summer",0.23747735587062,0.201136203078425,0.925612671053065,0.298400125759256,6704
"05","X157_2016_Summer.X157_BB90",0.321568330081853,0.360750770577974,0.925053843915528,0.267609075257003,13364,"summer",0.321568330081853,0.360750770577974,0.925053843915528,0.267609075257003,13364
"06","X158_2016_Summer.X158_BB90",0.192698135862949,0.0712879673128972,0.925623781780361,0.342387463202175,10781,"summer",0.192698135862949,0.0712879673128972,0.925623781780361,0.342387463202175,10781
"07","X161_2015_Summer.X161_BB90",0.125090822942966,0.0510011624023783,0.925612862620282,0.271421756177347,6661,"summer",0.125090822942966,0.0510011624023783,0.925612862620282,0.271421756177347,6661
"08","X178_2014_Summer.X178_BB90",0.245606787689502,0.206857555074768,0.925624739587899,0.281225788865751,8183,"summer",0.245606787689502,0.206857555074768,0.925624739587899,0.281225788865751,8183
"09","X178_2015_Summer.X178_BB90",0.237822277263815,0.254787796548097,0.92558259551386,0.241847898342991,12064,"summer",0.237822277263815,0.254787796548097,0.92558259551386,0.241847898342991,12064
"010","X181_2015_Summer.X181_BB90",0.115450526869961,0.0484257711286685,0.925588150877508,0.286587309538986,1594,"summer",0.115450526869961,0.0484257711286685,0.925588150877508,0.286587309538986,1594
"011","X181_2016_Summer.X181_BB90",0.101930379975268,0.0667443403114227,0.92557569920824,0.206651280002124,5010,"summer",0.101930379975268,0.0667443403114227,0.92557569920824,0.206651280002124,5010
"012","X19_2013_Summer.X19_BB90",0.258537004474576,0.241758406861437,0.925554627185493,0.32547842076171,7557,"summer",0.258537004474576,0.241758406861437,0.925554627185493,0.32547842076171,7557
"013","X192_2015_Summer.X192_BB90",0.142585184651773,0.112062753315677,0.925612671053065,0.218588889194321,3204,"summer",0.142585184651773,0.112062753315677,0.925612671053065,0.218588889194321,3204
"014","X200_2015_Summer.X200_BB90",0.194534939938174,0.105942848096721,0.925623781780361,0.309590470089519,10812,"summer",0.194534939938174,0.105942848096721,0.925623781780361,0.309590470089519,10812
"015","X202_2015_Summer.X202_BB90",0.154711711955876,0.158737410368182,0.865238622190566,0.222506654382943,6771,"summer",0.154711711955876,0.158737410368182,0.865238622190566,0.222506654382943,6771
"016","X205_2015_Summer.X205_BB90",0.301431401649173,0.35879255582498,0.908480526906983,0.228435043454288,9365,"summer",0.301431401649173,0.35879255582498,0.908480526906983,0.228435043454288,9365
"017","X31_2013_Summer.X31_BB90",0.216952246199972,0.237015164700621,0.925493135136566,0.204797598674586,6962,"summer",0.216952246199972,0.237015164700621,0.925493135136566,0.204797598674586,6962
"018","X58_2013_Summer.X58_BB90",0.355423082827132,0.376624107757101,0.86509429895665,0.24755060631758,4916,"summer",0.355423082827132,0.376624107757101,0.86509429895665,0.24755060631758,4916
